ImageName,Latitude,Longitude,Height,angle0,angle1,angle2,angle3
2018.01.06_I0-0_DC_NUCF_1197.tiff,54.7815016667,11.8556966667,97.3000000000,-0.17,0.11,-0.13,-234.89
2018.01.06_I0-0_DC_NUCF_1201.tiff,54.7814583333,11.8555900000,97.1000000000,0.11,-0.09,-0.05,-234.59
2018.01.06_I0-0_DC_NUCF_1208.tiff,54.7814250000,11.8555150000,97.0000000000,0.04,0.01,0.06,-234.41
2018.01.06_I0-0_DC_NUCF_1215.tiff,54.7813966667,11.8554450000,96.9000000000,0.11,-0.03,-0.08,-235.34
2018.01.06_I0-0_DC_NUCF_1222.tiff,54.7813683333,11.8553766667,96.9000000000,0.10,-0.01,0.04,-234.38
2018.01.06_I0-0_DC_NUCF_1226.tiff,54.7813216667,11.8552600000,96.9000000000,-0.14,0.16,0.12,-234.54
2018.01.06_I0-0_DC_NUCF_1233.tiff,54.7812900000,11.8551833333,97.0000000000,0.18,-0.19,-0.13,-235.56
2018.01.06_I0-0_DC_NUCF_1240.tiff,54.7812616667,11.8551116667,96.9000000000,-0.04,-0.06,-0.13,-234.77
2018.01.06_I0-0_DC_NUCF_1247.tiff,54.7812333333,11.8550400000,96.8000000000,0.08,-0.13,0.12,-235.46
2018.01.06_I0-0_DC_NUCF_1251.tiff,54.7811850000,11.8549200000,95.9000000000,0.06,0.00,-0.14,-235.42
2018.01.06_I0-0_DC_NUCF_1257.tiff,54.7811583333,11.8548550000,95.8000000000,0.05,0.16,0.01,-235.04
2018.01.06_I0-0_DC_NUCF_1264.tiff,54.7811300000,11.8547850000,95.9000000000,-0.06,0.19,0.18,-234.74
2018.01.06_I0-0_DC_NUCF_1270.tiff,54.7811033333,11.8547216667,96.0000000000,-0.10,0.09,0.02,-235.58
2018.01.06_I0-0_DC_NUCF_1276.tiff,54.7810583333,11.8545900000,96.0000000000,-0.20,0.16,0.13,-244.72
2018.01.06_I0-0_DC_NUCF_1283.tiff,54.7810416667,11.8545133333,96.1000000000,0.12,0.03,0.17,-253.33
2018.01.06_I0-0_DC_NUCF_1290.tiff,54.7810400000,11.8544233333,96.3000000000,0.14,0.01,0.18,-273.09
